model_name,group_name,workload_name,candidate_action,backend,hardware_label,backend_feasible,calibration_signal,perturbation_risk,predicted_quality_risk,prompt_nll_delta_pct_vs_bf16,latency_delta_pct_vs_bf16,prefill_latency_delta_pct_vs_bf16,output_tokens_per_sec_delta_pct_vs_bf16,decode_tokens_per_sec_delta_pct_vs_bf16,total_tokens_per_sec_delta_pct_vs_bf16,memory_delta_gib_vs_bf16,memory_delta_pct_vs_bf16,kv_cache_memory_delta_gib_vs_bf16,source_artifact,failure_reason,notes
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,bf16_transformers,transformers+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/bf16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,fp16_transformers,transformers+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00193356,-0.193356,0.039861,,-0.060099,-0.060099,-0.060099,0.007812,0.050305,0.007812,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/fp16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,h10_lg_late_gate_up_int8wo,transformers+float16+torchao_fqn_to_config+int8_weight_only,rtx3090-lab,true,layer_group_policy:starter_backend_policy_from_h6_h7_gate_up_low_risk_pattern,backend_real_layer_group:late_mlp_gate_up_layers_24_31:int8_weight_only:model\.layers\.(2[4-9]|3[0-1])\.mlp\.(gate_proj|up_proj),-0.00224104,-0.224104,17.269580,,-14.735315,-14.735315,-14.735315,0.132812,0.855178,0.132812,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/h10_lg_late_gate_up_int8wo/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,decode,decode_heavy,h10_lg_late_mlp_int8wo,transformers+float16+torchao_fqn_to_config+int8_weight_only,rtx3090-lab,true,layer_group_policy:starter_backend_policy_from_h6_h7_late_mlp_low_risk_pattern,backend_real_layer_group:late_mlp_proj_layers_24_31:int8_weight_only:model\.layers\.(2[4-9]|3[0-1])\.mlp\.(gate_proj|up_proj|down_proj),nan,nan,25.386061,,-20.263729,-20.263729,-20.263729,0.117188,0.754569,0.117188,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/h10_lg_late_mlp_int8wo/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,bf16_transformers,transformers+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/bf16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,fp16_transformers,transformers+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00193356,-0.193356,2.263647,,-2.207995,,-2.207995,0.007812,0.050305,0.007812,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/fp16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,h10_lg_late_gate_up_int8wo,transformers+float16+torchao_fqn_to_config+int8_weight_only,rtx3090-lab,true,layer_group_policy:starter_backend_policy_from_h6_h7_gate_up_low_risk_pattern,backend_real_layer_group:late_mlp_gate_up_layers_24_31:int8_weight_only:model\.layers\.(2[4-9]|3[0-1])\.mlp\.(gate_proj|up_proj),-0.00224104,-0.224104,14.722700,,-12.819698,,-12.819698,0.132812,0.855178,0.132812,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/h10_lg_late_gate_up_int8wo/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,mixed_batch,mixed,h10_lg_late_mlp_int8wo,transformers+float16+torchao_fqn_to_config+int8_weight_only,rtx3090-lab,true,layer_group_policy:starter_backend_policy_from_h6_h7_late_mlp_low_risk_pattern,backend_real_layer_group:late_mlp_proj_layers_24_31:int8_weight_only:model\.layers\.(2[4-9]|3[0-1])\.mlp\.(gate_proj|up_proj|down_proj),nan,nan,23.122701,,-18.773236,,-18.773236,0.117188,0.754569,0.117188,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/h10_lg_late_mlp_int8wo/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,prefill,prefill_heavy,bf16_transformers,transformers+bfloat16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,0.00000000,0.000000,0.000000,0.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/bf16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
meta-llama/Llama-3.1-8B-Instruct,prefill,prefill_heavy,fp16_transformers,transformers+float16,rtx3090-lab,true,not_applicable_global_vllm_policy,not_applicable_global_vllm_policy,-0.00193356,-0.193356,0.999807,0.999807,-0.990225,,-0.990225,0.007812,0.050368,0.007812,experiments/h10-inference-ptq-assignment/results/layer_group_benchmarks/fp16_transformers/benchmark.json,,h10_layer_group; quality risk is prompt-NLL percent delta divided by 100. Memory and KV-cache deltas use total CUDA mem_get_info used GiB because backend worker allocation may not be captured by PyTorch reserved memory.
