model_name,model_size_b,dataset_name,seed,source_stage,source_dir,module_name,module_short,module_role,module_class,module_leaf,layer_idx,num_layers_hint,normalized_depth,candidate_format,stage1_assignment,stage1_reason,observations,activation_outlier_score,input_outlier_score,output_outlier_score,input_outlier_score_mean,input_outlier_score_max,output_outlier_score_mean,output_outlier_score_max,int8_rel_mse,input_int8_rel_mse_mean,output_int8_rel_mse_mean,output_int4_rel_mse_mean,output_int8_saturation_mean,output_int4_saturation_mean,finite_fraction_min,baseline_loss_mean,perturbed_loss_mean,perturbation_delta,abs_perturbation_delta,max_batch_loss_delta_abs,has_perturbation,safe_label,safe_threshold,label_source
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,h6_0p5b_perturbation,perturbation_bf16_seed42,base_model.model.lm_head,base_model.model.lm_head,logits,Linear,lm_head,,24,,fake_int8_output,fp32,high-sensitivity reduction/output path,8,19.7650871277,19.7650871277,7.22767114639,19.2257249355,19.7650871277,6.56409925222,7.22767114639,0.00190445838962,0.00190445838962,0.000223607090447,0.0724831614643,1.00268323422e-06,2.8827143268e-06,1,1.75131380558,1.75387716293,0.00256335735321,0.00256335735321,0.00890648365021,1,1,0.005,perturbation_abs_threshold
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.input_layernorm,layers.0.input_layernorm,norm,Qwen2RMSNorm,input_layernorm,0,1,,fake_int8_output,fp32,high-sensitivity reduction/output path,1,24.8319339752,6.04317235947,24.8319339752,6.04317235947,6.04317235947,24.8319339752,24.8319339752,0.00317848613486,0.00018857428222,0.00317848613486,0.302425116301,1.7438616851e-05,1.7438616851e-05,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.mlp.down_proj,layers.0.mlp.down_proj,mlp_projection,Linear,down_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,72.9548034668,72.9548034668,13.2850141525,72.9548034668,72.9548034668,13.2850141525,13.2850141525,0.0218428727239,0.0218428727239,0.000908552086912,0.22682389617,1.7438616851e-05,6.9754467404e-05,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.mlp.gate_proj,layers.0.mlp.gate_proj,mlp_projection,Linear,gate_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,18.7648601532,18.7648601532,9.20586967468,18.7648601532,18.7648601532,9.20586967468,9.20586967468,0.00182304228656,0.00182304228656,0.000438485789346,0.136469334364,3.21237666867e-06,9.63712955127e-06,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.mlp.up_proj,layers.0.mlp.up_proj,mlp_projection,Linear,up_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,18.7648601532,18.7648601532,12.4529037476,18.7648601532,18.7648601532,12.4529037476,12.4529037476,0.00182304228656,0.00182304228656,0.000799517612904,0.25109192729,3.21237666867e-06,3.21237666867e-06,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,h6_0p5b_calibration,calibration_bf16_seed42,base_model.model.model.layers.0.post_attention_layernorm,layers.0.post_attention_layernorm,norm,Qwen2RMSNorm,post_attention_layernorm,0,24,0,fake_int8_output,fp32,high-sensitivity reduction/output path,8,26.5200481415,26.5200481415,19.3507518768,24.7692716122,26.5200481415,18.6911330223,19.3507518768,0.00317427460686,0.00317427460686,0.00180543960596,0.510382086039,2.45230549467e-06,2.75203176443e-05,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.self_attn.k_proj,layers.0.self_attn.k_proj,attention_projection,Linear,k_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,24.8319339752,24.8319339752,4.0210146904,24.8319339752,24.8319339752,4.0210146904,4.0210146904,0.00317848613486,0.00317848613486,7.16949434718e-05,0.0207981336862,0.0050048828125,0.0157470703125,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.self_attn.o_proj,layers.0.self_attn.o_proj,attention_projection,Linear,o_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,35.9192008972,15.4183492661,35.9192008972,15.4183492661,15.4183492661,35.9192008972,35.9192008972,0.00664424197748,0.00122535240371,0.00664424197748,0.294923812151,1.7438616851e-05,0.000139508934808,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.self_attn.q_proj,layers.0.self_attn.q_proj,attention_projection,Linear,q_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,24.8319339752,24.8319339752,10.1534404755,24.8319339752,24.8319339752,10.1534404755,10.1534404755,0.00317848613486,0.00317848613486,0.000501315924339,0.106481954455,8.7193082436e-05,0.00111607147846,1,,,,,,0,,0.005,
Qwen/Qwen2.5-0.5B,0.5,tatsu-lab/alpaca,42,smoke_signals_seed42,smoke_signals_seed42,base_model.model.model.layers.0.self_attn.v_proj,layers.0.self_attn.v_proj,attention_projection,Linear,v_proj,0,1,,fake_int8_output,bf16,projection appears sensitive under activation probe,1,24.8319339752,24.8319339752,10.3064603806,24.8319339752,24.8319339752,10.3064603806,10.3064603806,0.00317848613486,0.00317848613486,0.000548533396795,0.161737442017,0.0003662109375,0.0006103515625,1,,,,,,0,,0.005,
